Timestamp,Which A/L stream did you choose?,Did everything go well with your A/L exams?,What is your favorite subject? ,Kindly input your O/L exam results [Mathematics],Kindly input your O/L exam results [Science],Kindly input your O/L exam results [Religion],Kindly input your O/L exam results [English],Kindly input your O/L exam results [Sinhala or Tamil],Kindly input your O/L exam results [History],Kindly input your O/L exam results [Basket I],Kindly input your O/L exam results [Basket II],Kindly input your O/L exam results [Basket III],What career are you interested in pursuing? ,Which higher education field are you currently following or have you completed? ,Column 15,"If so, what kind of job do you do? ","On a scale of 1 to 5, how satisfied are you with your current job?  ","If you had the opportunity, would you prefer to do a different job? If yes, what job would you like to do?  ","What advice would you give to students selecting their A/L stream? Additionally, do you have any feedback or suggestions for improving this project? "
05/03/2025 13:32:58,Physical Science,"Mostly, but I faced some challenges",ICT,A,C,A,C,B,C,B,A,A,IT technology side,Network engineering ,I'm currently employed,Government Sector,2,No,Well done
05/03/2025 13:33:25,Physical Science,"Mostly, but I faced some challenges",Combined Mathematics ,A,A,A,A,A,A,A,A,B,Engineering,Software Engineering ,I'm currently employed,IT / Software Development,4,,
05/03/2025 13:35:38,Physical Science,"Mostly, but I faced some challenges",Chemistry ,A,B,B,A,C,C,B,C,B,Fashion designer ,Fashion designing ,,,1,No,Nothing
05/03/2025 13:40:29,Physical Science,"Yes, everything went well",Physics ,A,A,A,A,A,A,A,A,A,Laboratary side,Undergraduate,,Private Sector,,Laboratary side,Good survey
05/03/2025 13:41:03,Bio Science,"Mostly, but I faced some challenges",Biology,A,A,A,A,A,A,A,B,A,Food technologists ,Food Science and Technology ,,,,,The survey was good
05/03/2025 13:42:15,Bio Science,"Mostly, but I faced some challenges",Science ,A,A,A,A,A,A,A,A,A,A lecturer or an entrepreneur ,"Undergraduate in Agricultural Technology and Management , peradeniya ",,,,,No
05/03/2025 13:45:29,Physical Science,"Mostly, but I faced some challenges",Chemistry,A,A,A,A,A,A,A,A,A,Engineering ,Engineering undergraduate ,,,,,
05/03/2025 13:47:29,Physical Science,"Mostly, but I faced some challenges",Physics,A,A,A,A,A,A,A,A,A,Game development + Software development,,,,,,
05/03/2025 13:47:46,Bio Science,"Mostly, but I faced some challenges",Biology,C,B,A,C,B,B,A,A,A,Tourism,no any,I'm currently employed,Private Sector,4,yes. Airline,
05/03/2025 13:48:49,Physical Science,"Mostly, but I faced some challenges",Maths ,A,C,A,B,B,A,B,B,A,"It,music ",It,,Teaching / Education,4,,"This is not a clear form can't think about what are the decisions are u going to get from that because this is your final year project. 
Try to get more information and make this form more attractive 
Good luck"
05/03/2025 13:50:34,Commerce,"Mostly, but I faced some challenges",IT,A,C,A,A,A,B,B,B,A,Related to IT,Designing,,,3,"I love what I do, so I wouldn’t really want a different job. But if I ever explored something new, it would still be in the creative or business space, maybe growing my ventures into something bigger or launching a unique product line.","Overall, the survey is well-structured
"
05/03/2025 13:51:22,Physical Science,"Mostly, but I faced some challenges",Mathematics,A,A,A,A,A,A,A,A,B,Business Information systems ,Electronic Engineering ,I'm currently employed,Private Sector,3,"Yes , Software Quality Assurance Engineer ",
05/03/2025 13:54:47,Physical Science,"Mostly, but I faced some challenges",ICT,A,A,A,A,A,A,A,A,A,Information technology ,Computer science ,,,,,
05/03/2025 13:57:25,Commerce,"Yes, everything went well",ICT,A,B,A,A,A,A,A,A,B,Software Engineering,Software Engineering ,I'm currently employed,Private Sector,5,No,
05/03/2025 13:57:28,Technology,"Mostly, but I faced some challenges",ICT,A,C,C,A,C,B,C,A,C,IT field,Software engineering,I'm currently employed,Private Sector,4,"As a part time job, this satisfies my needs for now but as soon as I complete my higher education I would be willing to cooperate with a leading company",
05/03/2025 13:58:20,Technology,"Mostly, but I faced some challenges",Et,B,S,A,S,C,C,C,B,C,It,It,,IT / Software Development,,,
05/03/2025 13:59:28,Physical Science,"No, I had difficulties",Maths ,A,B,A,A,B,A,A,B,C,IT,Software engineering ,I'm currently employed,IT / Software Development,3,,
05/03/2025 13:59:33,Physical Science,"Yes, everything went well",Physics ,A,A,A,A,A,B,A,B,B,Computer Engineering ,Ai,I'm currently employed,IT / Software Development,3,"Yes, development ",I haven't any idea about this project 
05/03/2025 13:59:39,Physical Science,"Mostly, but I faced some challenges",Physics ,A,A,A,A,A,B,A,S,A,industrial,Physical science ,,,,,
05/03/2025 13:59:54,Physical Science,"Mostly, but I faced some challenges",Chemistry ,A,A,A,A,A,A,A,A,A,Engineering ,Engineering ,,,,,
05/03/2025 14:02:10,Physical Science,"Yes, everything went well",Combined Maths,A,A,A,A,A,A,A,C,A,SE,CS/SE,,IT / Software Development,,,
05/03/2025 14:02:11,Physical Science,"Yes, everything went well",Maths,A,A,A,A,A,A,A,A,A,Robotics ,Electronic and Telecommunication Engineering ,,,,,
05/03/2025 14:02:30,Physical Science,"Yes, everything went well",Chemistry,A,A,A,A,A,A,B,A,A,Engineer,Chemical Engineering,I'm currently employed,Private Sector,4,Yes ,Good
05/03/2025 14:03:19,Physical Science,"Mostly, but I faced some challenges",Physics ,A,A,A,B,A,A,B,C,A,Computer Engineering side jobs,Quantity surveying ,I'm currently employed,Government Sector,3,Software engineering ,
05/03/2025 14:04:19,Technology,"Mostly, but I faced some challenges",It,C,C,B,A,B,C,C,A,A,Computer science ,Computer science ,,,,,No very good 
05/03/2025 14:06:25,Commerce,"Yes, everything went well",Econ,B,C,A,S,A,C,B,B,C,Acconting,Applied Accounting,I'm currently employed,Private Sector,4,,
05/03/2025 14:08:36,Bio Science,"Mostly, but I faced some challenges",Chemistry ,A,A,A,A,A,A,A,A,A,Medical industry ,Bachelor of Ayurveda Medicine and Surgery ,I'm currently employed,Government Sector,3,Cafe owner,This gives an idea to think about the other path ways that also we can follow. So this a good project
05/03/2025 14:08:37,Arts,"Yes, everything went well",Japanese ,C,C,B,A,A,B,A,A,A,Hospitality industry ,Hospitality industry ,I'm currently employed,Private Sector,3,,
05/03/2025 14:09:02,Physical Science,"Mostly, but I faced some challenges",Mathematics ,A,A,A,A,A,A,A,A,A,Business ,,,,,,
05/03/2025 14:11:18,Physical Science,"No, I had difficulties",Mathematics ,A,B,A,B,A,A,B,A,A,Forex Trading ,Software Engineering ,,,,,
05/03/2025 14:11:30,Commerce,"Yes, everything went well",Business Studies ,B,A,A,B,A,A,B,C,A,Banking,BA (Hons) Management and Leadership ,I'm currently employed,Private Sector,4,IT company Procurement ,
05/03/2025 14:11:33,Bio Science,"Mostly, but I faced some challenges",Physics ,A,B,A,B,A,C,B,A,B,Software engineer,Software Engineering,I'm currently employed,IT / Software Development,4,UI UX Engineer ,Overall good project.
05/03/2025 14:13:54,Physical Science,"Mostly, but I faced some challenges",Maths,A,C,B,B,A,C,A,C,A,Software Engineer,Information Technology ,I'm currently employed,Private Sector,4,Teaching,No
05/03/2025 14:16:52,Physical Science,"Mostly, but I faced some challenges",Physics,A,B,A,A,A,A,A,B,A,Business,software engineering ,I'm currently employed,Self-Employed,4,Piloting,
05/03/2025 14:17:52,Physical Science,"Mostly, but I faced some challenges",Maths ,A,A,A,B,A,A,A,A,A,To be a engineer ,Electrical engineering ,,Government Sector,3,Architecture ,Good job 
05/03/2025 14:19:44,Physical Science,"Mostly, but I faced some challenges",chemistry,A,A,A,C,A,A,A,C,A,engineering,marine engineering,I'm currently employed,Government Sector,3,own business,-
05/03/2025 14:20:42,Technology,"Mostly, but I faced some challenges",ICT,C,C,A,A,A,B,C,C,C,Teaching ,Social work,I'm currently employed,Private Sector,4,A job related with HR side,
05/03/2025 14:21:14,Arts,"Yes, everything went well",Dancing ,C,C,C,B,B,C,C,A,B,Teaching,Dancing,I'm currently employed,IT / Software Development,4,Teaching,The purpose is very good.
05/03/2025 14:22:20,Arts,"Yes, everything went well",Logic,C,C,A,A,B,A,C,B,A,IT,Information technology,,Private Sector,3,Nothing,All goos
05/03/2025 14:22:40,Arts,"Yes, everything went well",Logic,A,B,A,A,A,A,A,A,A,Teaching,Teaching,I'm currently employed,Teaching / Education,4,"Yes, Fashion designing",
05/03/2025 14:22:55,Physical Science,"Yes, everything went well",Physics ,A,A,A,A,B,B,C,C,A,Automotive designing and engneering,Physics Science ,,,,,"More details regarding the skills, experience should be obtained and considered "
05/03/2025 14:24:01,Physical Science,"Mostly, but I faced some challenges",Combined maths,A,B,A,A,B,A,A,A,B,SE,Software Engineering,I'm currently employed,Private Sector,3,Nurse,
05/03/2025 14:24:32,Commerce,"Yes, everything went well",IT,B,C,C,B,C,C,C,C,C,IT,IT,,IT / Software Development,1,Yes,
05/03/2025 14:24:44,Physical Science,"Yes, everything went well",Combined mathematics ,A,A,A,B,A,A,B,A,A,Software engineer ,,,IT / Software Development,3,No,
05/03/2025 14:26:02,Arts,"Yes, everything went well",Oriental music,C,C,B,B,B,C,A,A,C,Teaching,English teaching,I'm currently employed,Private Sector,3,Private tutor ,Good ! 
05/03/2025 14:26:38,Physical Science,"Mostly, but I faced some challenges",Physics ,A,A,A,B,A,A,A,A,A,Custom officer,Software Engineering ,,,,,
05/03/2025 14:26:59,Physical Science,"Yes, everything went well",Physics ,A,B,A,A,A,A,A,B,A,Engineering ,Engineering ,,,,,
05/03/2025 14:32:43,Commerce,"Mostly, but I faced some challenges",Business studies ,C,B,C,C,B,B,C,C,B,Supply chain management ,Business management,I'm currently employed,Private Sector,1,Logistics manager,Good
05/03/2025 14:38:25,Bio Science,"Yes, everything went well",Bio,A,B,A,B,A,A,A,A,B,The Entrepreneur,CQHRM,I'm currently employed,Self-Employed,5,No,No
05/03/2025 14:39:13,Bio Science,"Mostly, but I faced some challenges",chemistry ,A,A,A,A,A,A,A,A,A,Aircraft Maintenance Engineering,Aircraft Maintenance Engineering ,,,,,
05/03/2025 14:40:09,Bio Science,"Mostly, but I faced some challenges",Bio,A,A,A,B,A,A,A,A,C,Food science ,Food science ,,,,Start a restaurant ,
05/03/2025 14:40:55,Physical Science,"Mostly, but I faced some challenges",Mathematics ,A,A,A,A,A,B,S,C,A,Engineering,Software engineering,,,,,
05/03/2025 14:40:55,Bio Science,"Mostly, but I faced some challenges",Chemistry,A,A,A,A,A,A,A,A,A,Doctor,medicine ,,,,,
05/03/2025 14:44:57,Physical Science,"Yes, everything went well",Maths,A,A,A,A,A,A,A,B,A,Academic,Software engineering,,,,,
05/03/2025 14:45:59,Physical Science,"Yes, everything went well",French,B,B,A,A,A,A,C,A,A,Teaching, Education ,I'm currently employed,Teaching / Education,5,No,
05/03/2025 14:50:58,Arts,"Yes, everything went well",History ,C,B,A,B,A,A,A,A,A,Teaching ,Bachelors in Art,,,,,It's good..
05/03/2025 14:54:20,Physical Science,"Mostly, but I faced some challenges",Physics,A,A,A,A,A,A,A,B,B,Network enjineer,Computer system and network engineering,I'm currently employed,Private Sector,4,Comuter systems,No
05/03/2025 14:54:50,Physical Science,"Mostly, but I faced some challenges",Maths,A,A,A,A,B,A,A,A,B,Not sure,Computer science ,,,,,
05/03/2025 14:55:53,Physical Science,"Yes, everything went well",Combined Maths,A,B,A,A,A,A,A,A,A,Software Engineer ,Software Engineering ,,IT / Software Development,5,No,
05/03/2025 14:56:10,Physical Science,"Mostly, but I faced some challenges",Chemistry ,A,A,A,A,A,A,A,B,A,Engineering ,Civil engineering ,,,,,No
05/03/2025 14:56:24,Commerce,"Yes, everything went well",Economics,A,C,B,A,B,A,A,A,A,Program Manager,Technology ,,IT / Software Development,,,
05/03/2025 14:58:10,Physical Science,"Mostly, but I faced some challenges",ICT,A,B,B,A,A,A,B,B,A,Software Engineering ,Software Engineering ,I'm currently employed,IT / Software Development,3,No,It would be great if the extra curricular activities or clubs that we liked and participated during schooling was collected for depictive analysis 
05/03/2025 14:59:15,Bio Science,"No, I had difficulties",Chemistry ,A,A,A,A,A,A,A,A,A,Software engineer,Information and communication technology,,IT / Software Development,3,Yes a pharmacist ,No
05/03/2025 15:00:42,Arts,"Mostly, but I faced some challenges",English,A,C,A,A,A,B,B,B,B,Aviation ,Tourism ,I'm currently employed,Private Sector,4,Event management ,
05/03/2025 15:02:41,Commerce,"Yes, everything went well",Business studies ,B,B,A,A,A,B,A,B,A,Teaching  ,Diploma in English ,I'm currently employed,Government Sector,2,Yes ,
05/03/2025 15:03:53,Bio Science,"Yes, everything went well",Biology ,B,A,A,B,A,B,A,B,C,Agriculture ,Agriculture ,,Government Sector,,,
05/03/2025 15:06:11,Commerce,"Mostly, but I faced some challenges",Economics ,A,A,A,A,A,A,C,A,A,Teaching ,Undergraduate (TESOL),,Teaching / Education,,No,
05/03/2025 15:08:10,Bio Science,"Mostly, but I faced some challenges",Chemistry ,A,A,A,A,A,A,A,A,A,Teaching ,No,,,,,
05/03/2025 15:08:49,Physical Science,"Yes, everything went well",Physics,A,A,A,A,A,A,A,A,A,Business analyst,Information System Engineering,I'm currently employed,Self-Employed,5,Mechanical Engineering,
05/03/2025 15:14:11,Bio Science,"Mostly, but I faced some challenges",Agri science ,A,A,A,A,A,A,A,A,A,Business ,Agricultural technology and management ,,Self-Employed,,,
05/03/2025 15:15:41,Physical Science,"Yes, everything went well",Maths,A,B,A,S,B,B,A,B,B,Huu,Software  engineering ,I'm currently employed,IT / Software Development,1,Baa,
05/03/2025 15:16:59,Physical Science,"Yes, everything went well",Combined Mathematics,A,A,A,A,A,A,A,A,A,Logistics,Management and Information Technology ,I'm currently employed,Private Sector,4,No,
05/03/2025 15:19:25,Arts,"Mostly, but I faced some challenges",Maths,A,A,A,A,A,A,A,A,A,An author or a librarian ,Information Systems,,,,,Just choose to do what you're good at.
05/03/2025 15:19:48,Bio Science,"Yes, everything went well",Biology ,A,A,A,A,A,A,A,A,A,Medical officer,Medicine ,,,,,Let their will for A/l subjects 
05/03/2025 15:20:52,Physical Science,"Yes, everything went well",Physics ,A,A,A,A,A,A,A,A,A,Engineering ,Mechanical Engineering ,,,,,Choose according to their real interest.
05/03/2025 15:21:05,Physical Science,"Mostly, but I faced some challenges",Physics ,A,B,B,A,B,A,A,A,A,Engineering ,Mechanical engineering ,,,,,
05/03/2025 15:21:14,Physical Science,"Mostly, but I faced some challenges",IT,A,B,A,A,A,A,A,A,A,In Cyber security field ,Doing cyber security degree ,,,,,Don't start love affairs else u r gonna end up.
05/03/2025 15:22:45,Physical Science,"Mostly, but I faced some challenges",Combined maths,A,A,A,B,A,A,B,A,A,Engineering ,Computer science ,,IT / Software Development,3,No ,
05/03/2025 15:24:58,Bio Science,"Yes, everything went well",Science ,A,A,A,A,A,A,A,B,A,Lecturer ,,I'm currently employed,Government Sector,4,,Just one advice. Do what you love.
05/03/2025 15:27:48,Arts,"Yes, everything went well",Geography i,A,A,A,A,A,A,A,A,A,Judge ,Law,,,,,"Understand Your Interests and Passions.
"
05/03/2025 15:29:36,Arts,"Mostly, but I faced some challenges",Geography ,C,B,A,A,A,A,A,B,A,Teaching ,Al,I'm currently employed,Teaching / Education,5,Business ,Choose the best for you
05/03/2025 15:30:28,Physical Science,"Mostly, but I faced some challenges",Physics ,A,A,A,C,A,B,A,A,B,Maritime industry ,Nautical science ,,Private Sector,1,No,Select a subject that suits the target
05/03/2025 15:32:19,Physical Science,"Mostly, but I faced some challenges",Combined maths,A,B,A,B,A,A,A,A,A,Lecture,Information technology ,,Private Sector,,,"Also You have to add ""student"" to the current job status "
05/03/2025 15:37:43,Bio Science,"Yes, everything went well",Biology ,A,A,A,A,A,A,A,B,A,Project Manager,IT,I'm currently employed,Government Sector,3,Project Manager,Select the most suitable stream according to your results and desire.
05/03/2025 15:40:33,Bio Science,"Mostly, but I faced some challenges",Biology,A,A,A,A,A,A,A,A,A,Laboratory scientists ,Bio science ,I'm currently employed,Teaching / Education,4,"Yes, research assistant",I suggest when selecting subjects for  A/L think about future job market
05/03/2025 15:42:14,Arts,"Mostly, but I faced some challenges",French ,C,C,A,A,B,A,A,A,B,Tourism and hospitality ,Following an HND in tourism and hospitality management ,,,,,When selecting the A/L stream they must have a clear goal or an ambition and must think about the subject combinations and specifically the willingness of the subject that they are going to do to achieve their dream.
05/03/2025 15:43:22,Physical Science,"Mostly, but I faced some challenges",Chemistry,A,A,A,A,A,A,A,A,A,Quality Assurance,BSc Physical Science,,,,,
05/03/2025 15:44:06,Physical Science,"Yes, everything went well",Combined Mathematics ,A,A,A,A,A,B,A,B,B,Data science ,Statistics & Mathematics ,,,,,
05/03/2025 15:49:11,Physical Science,"Mostly, but I faced some challenges",Mathematics ,A,A,A,A,A,A,A,A,A,Frontend developer,Statistics & Comp. Sci.,,,,,
05/03/2025 15:55:45,Physical Science,"Mostly, but I faced some challenges",Chemistry ,A,A,A,A,A,A,A,A,A,Computer Engineering ,Computer Engineering ,,,,,
05/03/2025 15:59:39,Bio Science,"Mostly, but I faced some challenges",Biology ,A,A,A,A,A,A,A,A,A,Agronomist ,Agriculture technology and management,,,,,
05/03/2025 16:01:58,Commerce,"Yes, everything went well",Economics ,B,B,A,B,A,B,A,C,A,Accountant ,Applied Accounting ,I'm currently employed,Private Sector,5,"Yes , Designing ",
05/03/2025 16:02:35,Bio Science,"Yes, everything went well",Physics ,A,A,A,C,A,A,A,A,A,Nursing ,Nursing course ,,Student ,,No,Good project 
05/03/2025 16:05:41,Physical Science,"Mostly, but I faced some challenges",ICT,B,B,A,A,S,B,C,A,B,Hardware Engineering,Undergraduate,I'm currently employed,IT / Software Development,3,No,
05/03/2025 16:08:03,Physical Science,"Mostly, but I faced some challenges",Physics,A,A,A,A,A,A,A,B,A,S E,Software Engineering,I'm currently employed,IT / Software Development,3,I DONT KNOW,Pick something you have interest
05/03/2025 16:12:05,Physical Science,"Mostly, but I faced some challenges",Math,A,A,A,A,A,A,A,A,A,ID Develop Engineer ,Information Technology ,,,,,Keep Going.Good Work.But do not make it more difficult to navigate and Do not add context content to the Project because of the end students are still school students..😊
05/03/2025 16:13:01,Physical Science,"No, I had difficulties",Mathematics,A,C,B,A,A,C,B,B,S,Software engineering,software engineering,,,4,Musician,choose the parth you like A/ls is not always the only parth
05/03/2025 16:14:27,Physical Science,"Mostly, but I faced some challenges",Chemistry ,A,A,A,A,A,A,A,A,B,Information Technology ,Computer Science ,I'm currently employed,IT / Software Development,4,No,reflect on long term career growth and stability.
05/03/2025 16:15:58,Bio Science,"No, I had difficulties",Chemistry ,A,A,A,A,A,A,A,A,A,Lawyer,,,,,,
